Category,Requirement,Status,Evidence,Gap Or Action Needed
"Booking","Booking confirmation success indicator and details","Implemented","BookingConfirmationScreen displays success check, Booking Confirmed, date, time, status, and doctor info","None"
"Booking","View My Appointments navigation","Minor mismatch","Confirmation button navigates to AppointmentList but label is View My Bookings","Rename button to View My Appointments for exact requirement match"
"Architecture","In-memory data store for low-latency search/read operations","Partial","API gateway uses NodeCache; AI service uses Redis cache and context TTL; main search still relies on MongoDB/read model","Use Redis more broadly for hot doctor/search/read data and add performance proof"
"DevOps","Automated deployment pipelines with environment segregation","Implemented","GitHub Actions reusable service deployment and Terraform pipeline support dev/prod inputs","None"
"Testing","Unit and integration tests","Partial","Backend unit suites pass; mobile suite has failing BookingConfirmation tests; E2E/integration coverage appears limited","Fix mobile tests and add API/mobile integration or E2E tests"
"Security","SAST and DAST during build/deployment","Implemented","Reusable GitHub deploy workflow now runs npm audit and Semgrep before build/push and ZAP baseline DAST after deploy when a target URL is configured","Set DAST_TARGET_URL or ALB_DNS_NAME repository variables; set SEMGREP_APP_TOKEN if using Semgrep managed reporting"
"Scalability","Highly available ECS/EKS deployment with autoscaling","Implemented for ECS","Terraform ECS service module uses Fargate, health checks, deployment circuit breaker, and app autoscaling policies","None for ECS; EKS not used"
"Observability","Distributed tracing","Implemented","Services and gateway initialize OpenTelemetry and export traces via OTLP/Jaeger endpoint","None"
"Observability","Centralized logs and metrics","Implemented","CloudWatch log groups, Prometheus metrics endpoints, Grafana/Prometheus configs, and dashboards exist","None"
"Observability","Periodic health checks","Implemented","Services expose health endpoints and ECS task definitions include health checks","None"
"Observability","Anomaly detection for funnel drop-offs or delayed responses","Partial","CloudWatch alarms cover CPU, memory, ALB errors/latency, Redis, and task health; no funnel drop-off anomaly detection found","Add product/funnel metrics and anomaly alerts"
"Non-Functional","Multi-tenancy logical isolation","Partial / risky","Gateway forwards tenantId and appointment models filter tenantId; doctor search model has tenantId but search does not appear to enforce tenant filter","Enforce tenant filtering in all service queries, especially doctor search/read models"
"Non-Functional","Data retention cleanup or archival","Partial","ECR image cleanup, log retention, refresh token cleanup, Redis TTL, and outbox cleanup exist; broad domain data retention not found","Define and implement retention/archive jobs for appointments, users, doctors, and audit/event data"
"Non-Functional","CDN for static mobile content and assets","Implemented","Terraform CloudFront module added for the S3-hosted web/mobile static asset bucket; web deploy supports CloudFront invalidation","Apply Terraform and configure WEB_CDN_DISTRIBUTION_ID / WEB_CDN_DOMAIN_NAME repository variables after distribution creation"
"Non-Functional","99.9% uptime SLA","Evidence added / needs runtime proof","docs/PERFORMANCE_SLA_EVIDENCE.md documents SLA evidence sources; performance-load-test workflow adds scheduled health/search validation","Collect CloudWatch uptime/alarm history and weekly k6 workflow results from deployed environments"
"Non-Functional","Sub-second latency for search/read operations","Evidence added / needs runtime proof","performance/k6/smartclinic-load-test.js enforces p95 search and request latency below 1000ms","Run the Performance - Load Test workflow against a deployed environment and archive results"
"Non-Functional","Millions of records scalability","Evidence plan added / needs dataset proof","docs/PERFORMANCE_SLA_EVIDENCE.md defines the large-data scalability evidence plan and load-test ramp strategy","Seed production-like large data and attach k6 plus CloudWatch/DB metrics to final submission"
"DevOps","Trunk-based development with feature flags","Missing / partial","Workflows trigger on main/master/develop; no feature flag implementation or trunk-based policy found","Document branching strategy and add feature flag mechanism if required"
"Documentation","Root README project documentation","Needs improvement","Root README is still the default GitLab template","Replace root README with real project setup, architecture, run, test, and deployment instructions"
